"∑REE","6.02","212.77","185.51","135.81","25.18","","152.08","","202.01","","97.96","","125.9","96.13"
"La/SmN","–","8.43","15.34","10.28","15.30","","10.57","","19.95","","12.86","","9.99","11.51"
"Gd/LuN","–","1.60","0.57","0.69","0.35","","1.81","","0.77","","1.01","","1.24","1.24"
"Eu/Eu*","–","0.19","0.36","0.23","0.53","","0.81","","0.54","","0.94","","0.47","0.58"
"Rock Type","NMD","NMS","NMS","NS","","NS","","NS","","NS","","NS","","AFS"
"Massif","EM","EM","EM","EM","","EM","","EM","","EM","","EM","","EM"
"Sample no.","EVES13","EVES05","EVES06","EVES04","","EVES14","","EVES37","","EVES44","","EVES50","","EVES01"
"Rb","512","179","176","207","","289","","270","","480","","140","","305"
"Cs","8.43","0.15","1.22","0.43","","0.82","","0.65","","1.05","","0.44","","2.22"
"Sr","306","31.9","23","71.3","","36.5","","83.9","","70.5","","82.5","","137.5"
"Ba","292","31.3","44.6","123.5","","53.1","","144.5","","52.1","","54.5","","510"
"Ga","19.9","37","29.6","42.6","","52.5","","49.5","","50.3","","60.4","","30.9"
"Y","21.4","7.1","42.4","44.7","","5.1","","8.1","","5","","65.9","","10.3"
"Zr","87","65","259","876","","2590","","1040","","832","","2250","","865"
"Hf","2.1","1.4","5.8","18.3","","57.5","","23.8","","18.1","","56","","21.2"
"Nb","15.7","4.4","61.7","94.1","","448","","141","","181","","445","","180"
"Ta","0.4","0.2","3.2","6.3","","33.5","","9","","10.2","","33.9","","9.9"
"Sn","2","b1","3","12","","5","","7","","7","","10","","6"
"Th","1.85","0.23","19.8","7.34","","1.42","","0.75","","0.87","","8.17","","3.96"
"U","0.82","0.11","2.65","3.81","","17.8","","2.85","","3.01","","1.88","","6.15"
"V","255","b5","5","b5","","b5","","b5","","b5","","7","","6"
"Zn","101","6","52","100","","87","","131","","149","","52","","125"
"Pb","3","6","6","6","","7","","b2","","10","","5","","4"
"Tl","0.98","0.23","0.33","0.3","","0.28","","0.27","","0.3","","0.13","","0.2"
"REE (ppm)","","","","","","","","","","","","","",""
"Sc","30","b1","b1","b1","","b1","","b1","","b1","","b1","","2"
"La","13.9","10","266","52.7","","3.9","","36.4","","15.3","","344","","17.4"
"Ce","27.3","17.4","488","104","","5.2","","46.3","","24.1","","575","","41.8"
"Pr","3.23","1.52","45.4","9.89","","0.68","","4.14","","1.84","","49","","4.76"
"Nd","13.9","5.3","150","33.5","","2.6","","10.9","","4.9","","148","","17.1"
"Sm","2.95","0.85","21.6","6.12","","0.35","","1.3","","0.67","","21","","3.13"
"Eu","1.11","0.12","1.25","0.75","","0.03","","0.11","","0.05","","1.18","","0.42"
"Gd","3.81","0.97","16.35","5.77","","0.51","","1.03","","0.45","","17.75","","2.5"
"Tb","0.61","0.17","2.28","1.07","","0.09","","0.16","","0.09","","3.15","","0.46"
"","","","","","","","","","","","","","(continued on next page)",""
